Date, Open, High, Low, Close
07/30/18, 466.83, 467.04, 467.04, 467.04
07/27/18, 465.79, 466.93, 466.93, 466.93
07/26/18, 466.36, 465.79, 465.79, 465.79
07/25/18, 465.15, 466.36, 466.36, 466.36
07/24/18, 463.65, 465.17, 465.17, 465.17
07/23/18, 457.58, 463.64, 463.64, 463.64
07/20/18, 456.67, 457.59, 457.59, 457.59
07/19/18, 463.37, 456.69, 456.69, 456.69
07/18/18, 456.40, 463.37, 463.37, 463.37
07/17/18, 455.69, 456.39, 456.39, 456.39
07/16/18, 447.60, 455.69, 455.69, 455.69
07/13/18, 449.71, 447.65, 447.65, 447.65
07/12/18, 448.88, 449.73, 449.73, 449.73
07/11/18, 451.20, 448.87, 448.87, 448.87
07/10/18, 452.87, 451.21, 451.21, 451.21
07/09/18, 442.61, 452.89, 452.89, 452.89
07/06/18, 440.41, 442.61, 442.61, 442.61
07/05/18, 439.11, 440.41, 440.41, 440.41
07/03/18, 444.07, 439.39, 439.39, 439.39
07/02/18, 441.12, 444.07, 444.07, 444.07
06/29/18, 441.70, 441.15, 441.15, 441.15
06/28/18, 437.85, 441.71, 441.71, 441.71
06/27/18, 443.55, 437.95, 437.95, 437.95
06/26/18, 445.30, 443.56, 443.56, 443.56
06/25/18, 449.83, 445.20, 445.20, 445.20
06/22/18, 452.22, 449.85, 449.85, 449.85
06/21/18, 453.03, 452.23, 452.23, 452.23
06/20/18, 454.50, 453.08, 453.08, 453.08
06/19/18, 455.99, 454.49, 454.49, 454.49
06/18/18, 456.29, 456.02, 456.02, 456.02
06/15/18, 456.44, 456.35, 456.35, 456.35
06/14/18, 460.75, 456.50, 456.50, 456.50
06/13/18, 462.25, 460.80, 460.80, 460.80
06/12/18, 463.90, 462.33, 462.33, 462.33
06/11/18, 465.17, 463.87, 463.87, 463.87
06/08/18, 463.98, 465.17, 465.17, 465.17
06/07/18, 462.92, 463.97, 463.97, 463.97
06/06/18, 454.56, 462.98, 462.98, 462.98
06/05/18, 456.52, 454.60, 454.60, 454.60
06/04/18, 455.23, 456.53, 456.53, 456.53
06/01/18, 450.32, 455.23, 455.23, 455.23
05/31/18, 454.10, 450.24, 450.24, 450.24
05/30/18, 445.63, 454.32, 454.32, 454.32
05/29/18, 461.13, 445.67, 445.67, 445.67
05/25/18, 463.10, 461.21, 461.21, 461.21
05/24/18, 466.52, 463.17, 463.17, 463.17
05/23/18, 469.27, 466.48, 466.48, 466.48
05/22/18, 466.48, 469.29, 469.29, 469.29
05/21/18, 463.07, 466.52, 466.52, 466.52
05/18/18, 467.32, 463.09, 463.09, 463.09
05/17/18, 467.72, 467.35, 467.35, 467.35
05/16/18, 467.24, 467.72, 467.72, 467.72
05/15/18, 467.99, 467.26, 467.26, 467.26
05/14/18, 468.30, 468.00, 468.00, 468.00
05/11/18, 468.62, 468.28, 468.28, 468.28
05/10/18, 465.07, 468.64, 468.64, 468.64
05/09/18, 458.15, 465.01, 465.01, 465.01
05/08/18, 455.09, 458.15, 458.15, 458.15
05/07/18, 452.02, 455.09, 455.09, 455.09
05/04/18, 446.22, 452.01, 452.01, 452.01
05/03/18, 450.06, 446.46, 446.46, 446.46
05/02/18, 455.70, 450.30, 450.30, 450.30
